1,339,724,852
1,210,193,422
312,896,000
237,641,326
192,376,496
178,279,000
162,471,000
142,914,136
142,319,000
127,760,000
112,336,538
94,013,200
85,846,997
82,101,998
81,768,000
81,342,000
75,976,000
73,722,988
69,519,000
67,758,000
65,027,000
62,300,000
60,742,397
50,586,757
48,580,000
48,337,000
46,323,000
46,162,024
45,668,028
43,188,000
40,117,096
38,610,097
38,092,000
37,100,000
34,605,346
32,939,800
32,425,900
32,358,000
32,105,000
30,894,000
29,797,694
28,334,135
28,000,000
27,136,977
26,840,935
26,620,809
24,233,431
24,052,231
23,833,000
23,214,620
23,049,621
22,811,256
21,436,000
21,395,000
21,383,000
20,653,000
19,618,000
19,406,100
18,866,000
17,248,450
16,715,489
16,615,000
15,730,977
15,730,754
14,713,763
14,517,176
14,483,499
13,395,682
13,077,160
13,046,508
12,855,153
12,754,000
11,274,106
11,241,161
10,839,905
10,787,690
10,718,379
10,673,800
10,562,214
10,561,614
10,426,154
10,217,591
10,085,214
9,985,722
9,557,000
9,475,954
9,466,000
9,378,818
9,111,100
9,100,000
8,575,000
8,419,776
8,264,070
8,260,490
8,215,313
7,870,100
7,836,000
7,616,000
7,364,570
7,120,666
7,108,100
7,014,000
6,423,000
6,348,800
6,337,127
6,250,600
6,227,000
5,997,000
5,815,524
5,753,324
5,579,204
5,477,600
5,437,126
5,415,000
5,402,910
5,183,700
5,105,000
4,985,011
4,581,269
4,487,000
4,469,200
4,433,900
4,301,712
4,290,612
4,259,000
4,168,858
4,140,000
3,843,126
3,725,789
3,560,400
3,476,608
3,405,813
3,340,627
3,266,300
3,207,100
3,203,792
2,831,741
2,818,000
2,773,479
2,736,800
2,705,800
2,324,000
2,209,000
2,194,000
2,057,284
2,055,880
2,031,000
1,776,000
1,699,435
1,534,000
1,520,830
1,340,194
1,317,714
1,280,924
1,234,571
1,203,000
1,066,409
906,000
868,000
838,897
816,364
784,894
754,000
720,000
708,265
620,029
560,100
548,000
542,287
529,000
511,840
491,575
422,700
417,617
401,554
396,404
353,658
318,452
317,280
312,698
276,302
274,000
245,580
234,023
224,469
211,000
184,032
169,000
166,526
159,358
142,180
110,821
106,405
103,036
102,624
101,484
101,000
100,892
97,857
90,945
89,138
85,015
83,000
71,685
64,186
62,431
56,890
55,519
54,878
54,305
53,883
51,970
48,738
42,375
37,429
36,824
36,157
35,881
32,093
29,441
28,213
28,007
21,000
18,012
15,236
13,445
10,900
10,000
10,000
8,902
6,082
4,932
4,255
3,000
2,394
2,302
1,411
1,402
1,000
800
596
67
